quality | bitrate [bit/piksel] | MSE | PSNR [dB]
  5 |  0.231405 |  268.4560 |   23.8421
 10 |  0.321065 |  134.2324 |   26.8522
 15 |  0.397542 |   90.1916 |   28.5791
 20 |  0.463867 |   69.5080 |   29.7105
 25 |  0.525431 |   57.1923 |   30.5574
 30 |  0.581502 |   49.1863 |   31.2124
 35 |  0.634908 |   43.5815 |   31.7378
 40 |  0.679810 |   39.6868 |   32.1443
 45 |  0.730103 |   35.9005 |   32.5798
 50 |  0.772949 |   33.0080 |   32.9446
 55 |  0.817973 |   30.3300 |   33.3121
 60 |  0.873657 |   27.7287 |   33.7015
 65 |  0.946798 |   25.0667 |   34.1398
 70 |  1.034017 |   22.2792 |   34.6518
 75 |  1.140991 |   19.3752 |   35.2583
 80 |  1.314535 |   16.1635 |   36.0455
 85 |  1.562907 |   12.7456 |   37.0772
 90 |  1.996887 |    9.0812 |   38.5494
 95 |  2.924052 |    5.3628 |   40.8369
100 |  6.221965 |    2.2366 |   44.6350
Przeplywnosc kolorowego PNG: 12.536967 bit/piksel
